ALLOT_NAME,ALLOT_NO,BLMDATA,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_C,ST_ALLOT,GlobalID,SHAPE_Leng,SHAPE_Area,FID,OBJECTID
W. Maher FFR,567,1,1443.66592,ID,B03000,IDB03000,ID00567,{BE2471CD-B69E-4422-B27C-5EC9CAD92D16},15370.91039,5842331.905,257,278964
Con Shea,571,1,13759.88951,ID,B03000,IDB03000,ID00571,{CF369DD9-458F-4835-8845-D7B6EFB8D6D2},82386.2044,55684518.41,259,278966
Burgess,572,1,1312.224208,ID,B03000,IDB03000,ID00572,{0FF8A1F9-A364-433F-9ABF-4757421949A4},14902.2839,5310404.056,260,278967
Jim`s Peak FFR,576,1,2599.054622,ID,B03000,IDB03000,ID00576,{9D54D2DD-FF5D-4BCF-861C-FECDE6577DD8},20174.60264,10518042.67,263,278970
Bogus Creek FFR,577,1,7358.144336,ID,B03000,IDB03000,ID00577,{4865A52D-F992-4C42-AFF7-5B6F4DB19EE9},27888.49356,29777471.93,264,278971
Sinker Butte,578,1,8968.19475,ID,B03000,IDB03000,ID00578,{33520CFC-E491-4316-B498-48C930C68C30},37838.80178,36293140.67,265,278972
Garat,584,1,211907.9414,ID,B03000,IDB03000,ID00584,{C12C718E-4689-48A9-89DC-E61D28A06F71},197740.3874,857564419.6,268,278975
Brown's Creek,585,1,3892.075096,ID,B03000,IDB03000,ID00585,{E5A529F2-0CBE-42F2-B478-13427FD25A48},18103.95894,15750731.66,269,278976
Lone Tree,587,1,15560.75616,ID,B03000,IDB03000,ID00587,{C8C8BDA8-A9FD-47C9-B2A3-71B45FB6CAC2},59200.70858,62972396.14,270,278977
Red Mountain,588,1,16068.1322,ID,B03000,IDB03000,ID00588,{C717725D-01DF-497E-BFD7-EF179383380E},47289.09634,65025682.28,271,278978
Boone Peak,589,1,14961.4775,ID,B03000,IDB03000,ID00589,{CF9D5D17-A593-4644-B151-1BAEC455E877},40002.24815,60547191.79,272,278979
Bridge Creek,590,1,2579.870756,ID,B03000,IDB03000,ID00590,{407FF5B4-587B-4B24-95A4-D7E258BFAFC8},15423.1815,10440408.01,273,278980
Big Field FFR,594,1,2759.914711,ID,B03000,IDB03000,ID00594,{409BF083-7542-4E4C-846F-695B11B1E5BE},15724.35846,11169022.94,276,278983
Combination Creek,595,1,4209.482877,ID,B03000,IDB03000,ID00595,{4C409D8E-3279-498B-8D44-B078CDEEC1EF},30161.06196,17035240.48,277,278984
Warn,596,1,674.6913432,ID,B03000,IDB03000,ID00596,{6C21128B-1579-4474-8967-31B0A98EBD58},6738.370353,2730389.84,278,278985
South Mtn Indv,600,1,4523.408763,ID,B03000,IDB03000,ID00600,{BEE3B3F9-97B3-47AE-91D1-7ACE8F42CDA7},34822.49905,18305658.51,279,278986
Louisa Creek,601,1,10603.16492,ID,B03000,IDB03000,ID00601,{5135F92D-757D-472E-8927-BCC0B912E18F},62877.08885,42909656.5,280,278987
Walker FFR,604,1,625.3530699,ID,B03000,IDB03000,ID00604,{E17F5B05-D584-4151-B5E4-E45D32CE3B46},7496.341458,2530724.139,282,278989
